link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30],dst[31],dst[32],dst[33],dst[34],dst[35],dst[36],dst[37],dst[38],dst[39]
8695,1159,8434,2,4096,8438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8698,1160,8435,2,4096,8439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8701,1161,8436,2,4096,8440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8704,1162,8437,2,4096,8441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8707,1165,8438,1,4096,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8710,1166,8439,1,4096,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8713,1167,8440,1,4096,8444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8716,1168,8441,1,4096,8445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8719,1169,8442,2,32768,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8720,1169,8442,2,32768,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8721,1169,8442,2,32768,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8724,1170,8443,2,32768,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8725,1170,8443,2,32768,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8726,1170,8443,2,32768,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8729,1171,8444,2,32768,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8730,1171,8444,2,32768,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8731,1171,8444,2,32768,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8734,1172,8445,2,32768,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8735,1172,8445,2,32768,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8736,1172,8445,2,32768,1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8739,1174,8446,2,4096,8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8742,1175,8447,2,4096,8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8745,1176,8448,2,4096,8452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8748,1177,8449,2,4096,8453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8751,1180,8450,1,4096,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8754,1181,8451,1,4096,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8757,1182,8452,1,4096,8456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8760,1183,8453,1,4096,8457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8763,1184,8454,2,32768,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8764,1184,8454,2,32768,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8765,1184,8454,2,32768,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8768,1185,8455,2,32768,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8769,1185,8455,2,32768,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8770,1185,8455,2,32768,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8773,1186,8456,2,32768,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8774,1186,8456,2,32768,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8775,1186,8456,2,32768,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8778,1187,8457,2,32768,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8779,1187,8457,2,32768,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8780,1187,8457,2,32768,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8783,1189,8458,2,32,1198,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8784,1189,8458,2,32,1198,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8785,1189,8458,2,32,1198,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8790,1190,8459,1,1,8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8792,1191,8460,1,1,8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8794,1192,8461,2,8,8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8796,1193,8462,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8805,1205,8463,2,32768,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8806,1205,8463,2,32768,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8808,1206,8464,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8809,1206,8464,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8811,1209,8465,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8812,1209,8465,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8814,1212,8466,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8815,1212,8466,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8817,1215,8467,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8818,1215,8467,2,32768,8463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8827,1276,8468,2,32768,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8828,1276,8468,2,32768,1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8830,1277,8469,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8831,1277,8469,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8833,1280,8470,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8834,1280,8470,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8836,1283,8471,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8837,1283,8471,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8839,1286,8472,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8840,1286,8472,2,32768,8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8849,1371,8473,2,32768,12313,12435,12557,12679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8850,1371,8473,2,32768,12313,12435,12557,12679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8852,1372,8474,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8853,1372,8474,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8855,1375,8475,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8856,1375,8475,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8858,1378,8476,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8859,1378,8476,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8861,1381,8477,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8862,1381,8477,2,32768,8473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8871,1430,8478,2,32768,12881,13003,13125,13247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8872,1430,8478,2,32768,12881,13003,13125,13247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8874,1431,8479,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8875,1431,8479,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8877,1434,8480,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8878,1434,8480,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8880,1437,8481,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8881,1437,8481,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8883,1440,8482,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8884,1440,8482,2,32768,8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8893,1487,8483,2,32768,13449,13571,13693,13815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8894,1487,8483,2,32768,13449,13571,13693,13815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8896,1488,8484,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8897,1488,8484,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8899,1491,8485,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8900,1491,8485,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8902,1494,8486,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8903,1494,8486,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8905,1497,8487,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8906,1497,8487,2,32768,8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8915,1546,8488,2,32768,14017,14139,14261,14383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8916,1546,8488,2,32768,14017,14139,14261,14383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8918,1547,8489,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8919,1547,8489,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8921,1550,8490,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8922,1550,8490,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8924,1553,8491,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8925,1553,8491,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8927,1556,8492,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8928,1556,8492,2,32768,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8937,1593,8493,1,4096,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8938,1593,8493,1,4096,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8940,1594,8494,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8941,1594,8494,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8943,1597,8495,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8944,1597,8495,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8946,1600,8496,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8947,1600,8496,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8949,1603,8497,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8950,1603,8497,1,4096,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8959,1642,8498,1,4096,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8960,1642,8498,1,4096,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8962,1643,8499,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8963,1643,8499,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8965,1646,8500,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8966,1646,8500,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8968,1649,8501,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8969,1649,8501,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8971,1652,8502,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8972,1652,8502,1,4096,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12434,12315,12313,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12433,12315,12313,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12875,12315,12313,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12876,12315,12313,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12556,12437,12435,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12555,12437,12435,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12877,12437,12435,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12878,12437,12435,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12678,12559,12557,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12677,12559,12557,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12879,12559,12557,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12880,12559,12557,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12800,12681,12679,2,4096,8437,8436,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12799,12681,12679,2,32768,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13002,12883,12881,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,12883,12881,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443,12883,12881,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13444,12883,12881,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13124,13005,13003,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13123,13005,13003,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13445,13005,13003,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13446,13005,13003,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13246,13127,13125,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13245,13127,13125,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13447,13127,13125,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13448,13127,13125,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13368,13249,13247,2,4096,8445,8444,8443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13367,13249,13247,2,32768,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13570,13451,13449,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13569,13451,13449,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14011,13451,13449,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14012,13451,13449,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13692,13573,13571,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13691,13573,13571,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14013,13573,13571,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14014,13573,13571,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13814,13695,13693,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13813,13695,13693,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015,13695,13693,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14016,13695,13693,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13936,13817,13815,2,32768,8446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13935,13817,13815,2,4096,8449,8448,8447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14138,14019,14017,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14137,14019,14017,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14579,14019,14017,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14580,14019,14017,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14260,14141,14139,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14259,14141,14139,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14581,14141,14139,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14582,14141,14139,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14382,14263,14261,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14381,14263,14261,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14583,14263,14261,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14584,14263,14261,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14504,14385,14383,2,32768,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14503,14385,14383,2,4096,8457,8456,8455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8637,14585,14666,2,256,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8638,14586,14667,2,256,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8636,14586,14667,2,256,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14675,14586,14667,2,256,14666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14676,14586,14667,2,256,14666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14677,14586,14667,2,256,14666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
