packet_rate,XBAR_FULL,LINKS_SW,DIRS_SW,WIDTH,BACKPRESSURE,DIRS_CU,LINKS_CU,synthesis area (um^2),synthesis slack (ns),flit energy (J)
100,1,2,4,8,0,1,8,1677.896999,0.51,5.370562500000001e-14
100,1,2,4,8,1,1,8,2212.937992,0.45,1.1005624999999999e-13
100,1,3,4,8,0,1,4,1887.912003,0.53,6.0525e-14
100,1,3,4,8,1,1,4,2459.457003,0.49,1.1629375e-13
100,1,3,4,8,0,1,6,2316.600001,0.52,6.422222222222221e-14
100,1,3,4,8,1,1,6,2969.109006,0.44,1.1978888888888888e-13
100,1,3,4,8,0,1,8,2685.033003,0.52,6.053000000000001e-14
100,1,3,4,8,1,1,8,3399.902999,0.45,1.15305e-13
100,1,4,4,8,0,1,4,2776.995004,0.53,6.528e-14
100,1,4,4,8,1,1,4,3493.035003,0.51,1.1562000000000002e-13
100,1,4,4,8,0,1,6,3333.213007,0.53,6.395e-14
100,1,4,4,8,1,1,6,4145.427009,0.43,1.1258181818181819e-13
100,1,4,4,8,0,1,8,3861.234005,0.51,6.485e-14
100,1,4,4,8,1,1,8,4819.11301,0.4,1.2058333333333332e-13
100,1,5,4,8,0,1,4,3910.140013,0.51,6.4875e-14
100,1,5,4,8,1,1,4,4901.130017,0.4,1.14625e-13
100,1,5,4,8,0,1,6,4561.362014,0.51,6.614230769230769e-14
100,1,5,4,8,1,1,6,5680.35002,0.33,1.1852307692307693e-13
100,1,5,4,8,0,1,8,5193.630014,0.48,6.425357142857143e-14
100,1,5,4,8,1,1,8,6366.438015,0.34,1.1527857142857142e-13
100,1,2,4,16,0,1,4,1737.683996,0.59,9.794166666666667e-14
100,1,2,4,16,1,1,4,2289.338988,0.54,1.8795e-13
100,1,2,4,16,0,1,6,2166.021005,0.54,1.0395e-13
100,1,2,4,16,1,1,6,2812.562993,0.51,1.882857142857143e-13
100,1,2,4,16,0,1,8,2562.65101,0.51,1.01413125e-13
100,1,2,4,16,1,1,8,3337.776,0.5,1.91725e-13
100,1,3,4,16,0,1,4,2971.098003,0.5,1.0594375000000001e-13
100,1,3,4,16,1,1,4,3797.585997,0.49,2.0359375000000001e-13
100,1,3,4,16,0,1,6,3608.982014,0.49,1.0885555555555556e-13
100,1,3,4,16,1,1,6,4557.969006,0.41,2.0645555555555554e-13
100,1,3,4,16,0,1,8,4266.405024,0.51,1.0785500000000001e-13
100,1,3,4,16,1,1,8,5299.515013,0.43,2.0607500000000003e-13
100,1,4,4,16,0,1,4,4370.769007,0.5,1.0812e-13
100,1,4,4,16,1,1,4,5467.527002,0.54,2.01225e-13
100,1,4,4,16,0,1,6,5197.725025,0.5,1.0965454545454544e-13
100,1,4,4,16,1,1,6,6412.419017,0.4,2.023772727272727e-13
100,1,4,4,16,0,1,8,5988.762038,0.51,1.065625e-13
100,1,4,4,16,1,1,8,7314.723029,0.43,1.9864166666666667e-13
100,1,5,4,16,0,1,4,6161.571027,0.54,1.074875e-13
100,1,5,4,16,1,1,4,7537.257019,0.42,2.022416666666667e-13
100,1,5,4,16,0,1,6,7252.245059,0.53,1.1605384615384615e-13
100,1,5,4,16,1,1,6,8793.018046,0.42,2.0801153846153849e-13
100,1,5,4,16,0,1,8,8112.897072,0.45,1.1310357142857144e-13
100,1,5,4,16,1,1,8,9770.085064,0.33,2.0624642857142857e-13
100,1,2,4,32,0,1,4,3010.410006,0.42,1.93225e-13
100,1,2,4,32,1,1,4,3982.562993,0.39,3.6900000000000004e-13
100,1,2,4,32,0,1,6,3771.378022,0.39,2.0052142857142856e-13
100,1,2,4,32,1,1,6,4905.810001,0.37,3.728785714285715e-13
100,1,2,4,32,0,1,8,4374.747034,0.37,1.9533125000000003e-13
100,1,2,4,32,1,1,8,5689.71001,0.35,3.7056249999999997e-13
100,1,3,4,32,0,1,4,5115.240027,0.37,2.0800000000000002e-13
100,1,3,4,32,1,1,4,6434.649006,0.36,3.8593125e-13
100,1,3,4,32,0,1,6,6122.961049,0.37,2.097777777777778e-13
100,1,3,4,32,1,1,6,7676.019026,0.33,3.9006111111111114e-13
100,1,3,4,32,0,1,8,7234.69507,0.32,2.0903e-13
100,1,3,4,32,1,1,8,8946.288043,0.26,3.8787e-13
100,1,4,4,32,0,1,4,7490.457042,0.36,2.0623e-13
100,1,4,4,32,1,1,4,9221.706017,0.44,3.8818e-13
100,1,4,4,32,0,1,6,8835.606079,0.37,2.1226363636363632e-13
100,1,4,4,32,1,1,6,10750.311051,0.36,3.901363636363636e-13
100,1,4,4,32,0,1,8,10127.754106,0.38,2.0618333333333335e-13
100,1,4,4,32,1,1,8,12264.291077,0.38,3.884583333333333e-13
100,1,5,4,32,0,1,4,10407.267088,0.4,2.0658333333333333e-13
100,1,5,4,32,1,1,4,12590.604058,0.36,3.896666666666667e-13
100,1,5,4,32,0,1,6,12270.609149,0.4,2.2454230769230775e-13
100,1,5,4,32,1,1,6,14640.912117,0.38,4.0534615384615385e-13
100,1,5,4,32,0,1,8,13681.395184,0.36,2.1961785714285716e-13
100,1,5,4,32,1,1,8,16265.57415,0.32,4.008928571428572e-13
100,1,2,4,64,0,1,4,5529.88802,0.3,3.836166666666667e-13
100,1,2,4,64,1,1,4,7303.607983,0.3,7.216333333333333e-13
100,1,2,4,64,0,1,6,6907.446054,0.36,3.9728571428571423e-13
100,1,2,4,64,1,1,6,8988.40801,0.27,7.378571428571429e-13
100,1,2,4,64,0,1,8,8064.810083,0.3,3.878375e-13
100,1,2,4,64,1,1,8,10456.407031,0.26,7.33625e-13
100,1,3,4,64,0,1,4,9331.686069,0.29,4.128e-13
100,1,3,4,64,1,1,4,11749.491013,0.28,7.600625e-13
100,1,3,4,64,0,1,6,11179.701114,0.25,4.1695000000000006e-13
100,1,3,4,64,1,1,6,13935.75306,0.24,7.661666666666667e-13
100,1,3,4,64,0,1,8,13136.99416,0.24,4.1648500000000007e-13
100,1,3,4,64,1,1,8,16198.8841,0.17,7.693e-13
100,1,4,4,64,0,1,4,13750.659112,0.24,4.0895500000000005e-13
100,1,4,4,64,1,1,4,16791.255055,0.31,7.677000000000001e-13
100,1,4,4,64,0,1,6,16162.848191,0.26,4.1178181818181813e-13
100,1,4,4,64,1,1,6,19543.446124,0.27,7.705454545454546e-13
100,1,4,4,64,0,1,8,18515.71825,0.25,4.089666666666667e-13
100,1,4,4,64,1,1,8,22252.69818,0.31,7.69375e-13
100,1,5,4,64,0,1,4,19000.683216,0.34,4.079666666666668e-13
100,1,5,4,64,1,1,4,22802.364144,0.3,7.692500000000002e-13
100,1,5,4,64,0,1,6,22309.677329,0.3,4.4242307692307704e-13
100,1,5,4,64,1,1,6,26437.788253,0.29,7.989615384615385e-13
100,1,5,4,64,0,1,8,24940.305418,0.09,4.344285714285714e-13
100,1,5,4,64,1,1,8,29400.228336,0.15,7.886785714285715e-13
